0,0,0:4034,23,0,0,8705,0,0,0,0
1,0,2:8,8,8,8,9,8,8,8,0
1,0,162:8,8,8,8,0,8,8,8,8
1,0,54:8,8,8,8,8,0,8,8,8
1,1,4461:6,0,6,6,0,6,6,0,6
1,1,3651:6,0,0,6,6,6,6,0,6
1,1,1491:6,6,0,6,6,0,6,0,6
0,1,731:182,172,0,53,371,68,51,101,0
1,1,4381:6,0,6,6,6,6,6,0,0
1,1,191:6,6,6,6,0,0,6,6,0
1,1,141:6,6,6,6,0,0,6,0,6
1,1,1541:6,6,0,6,0,6,6,6,0
0,1,1461:23,31,0,7,18,47,2,0,23
1,1,61:6,6,6,6,6,0,6,0,0
1,1,1521:6,6,0,6,6,0,0,6,6
0,1,2193:10,0,9,8,20,11,7,0,13
0,1,163:33,26,145,14,0,64,86,54,0
1,1,1473:6,6,0,6,6,6,0,0,6
1,1,893:6,6,0,6,0,6,6,6,0
0,1,83:201,73,710,575,0,394,519,1822,0
1,1,1623:6,6,0,6,0,6,6,0,6
1,1,1503:6,6,0,6,6,0,0,6,6
1,1,1463:6,6,0,6,6,6,6,0,0
0,1,735:90,103,0,27,445,86,162,0,250
0,1,55:185,199,16,123,312,0,290,26,0
1,1,4385:6,0,6,6,6,6,0,6,0
1,1,2355:6,0,6,6,0,6,6,0,6
1,1,1545:6,6,0,6,0,6,6,0,6
1,1,785:6,6,0,6,6,0,6,6,0
1,1,1465:6,6,0,6,6,6,6,0,0
1,1,2195:6,0,6,6,6,6,6,0,0
1,1,1515:6,6,0,6,6,0,6,0,6
0,1,135:647,456,860,721,0,0,633,651,519
1,1,4407:6,0,6,6,6,0,6,0,6
1,1,2247:6,0,6,6,6,0,6,0,6
1,1,217:6,6,6,6,0,0,6,6,0
1,1,1487:6,6,0,6,6,0,6,6,0
1,1,2207:6,0,6,6,6,6,0,6,0
1,1,137:6,6,6,6,0,0,6,6,0
0,1,57:8,5,12,13,81,0,10,0,19
1,1,737:6,6,0,6,6,6,6,0,0
0,1,1467:215,47,0,97,42,23,0,42,36
1,1,1557:6,6,0,6,0,7,0,6,6
1,1,4437:6,0,6,6,6,0,0,6,6
1,1,1477:6,6,0,6,6,6,0,6,0
1,1,897:6,6,0,6,0,6,6,0,6
1,1,1469:6,6,0,6,6,6,0,6,0
0,1,29:12,15,31,21,26,0,29,19,0
1,1,219:6,6,6,6,0,0,6,0,6
0,1,189:10,14,18,3,0,0,4,11,15
1,1,2259:6,0,6,6,6,0,0,6,6
1,1,1629:6,6,0,6,0,6,0,6,6
1,1,789:6,6,0,6,6,0,6,0,6
1,1,59:6,6,6,6,6,0,6,0,0
0,2,4650:4,0,4,0,4,0,4,0,6
0,2,2490:7,0,6,0,4,0,4,0,4
0,2,4420:6,0,4,44,16,0,0,2,0
0,2,2210:9,0,4,4,10,4,0,0,0
0,2,2260:33,0,14,16,13,0,0,3,0
0,2,3660:15,0,0,5,9,8,0,0,9
0,2,1630:28,25,0,47,0,9,0,31,0
0,2,870:304,37,0,36,0,0,58,0,162
0,2,140:14,424,91,2,0,0,47,0,0
1,2,3750:4,0,0,4,0,4,0,0,4
1,2,2990:4,0,0,4,4,0,0,4,0
1,2,4600:4,0,4,4,0,0,0,4,0
1,2,5870:4,0,0,4,4,0,0,4,0
1,2,960:4,4,0,4,0,0,0,0,4
1,2,3840:4,0,0,4,0,0,4,0,4
0,2,8030:0,13,0,37,9,10,0,6,0
0,2,4390:2,0,3,4,12,3,0,0,0
0,2,2360:17,0,4,5,0,6,0,2,0
0,2,1550:10,79,0,4,0,208,0,5,0
0,2,1500:16,6,0,31,13,0,0,0,3
0,2,920:13,10,0,3,0,0,9,4,0
0,2,790:28,16,0,12,28,0,23,0,0
1,2,8120:0,4,0,4,0,4,0,4,0
1,2,5600:4,0,0,0,4,4,0,4,0
1,2,5880:4,0,0,4,4,0,0,0,4
1,2,5150:4,0,0,4,4,0,0,4,0
1,2,2400:4,0,4,4,0,0,0,0,4
1,2,3670:4,0,0,4,4,4,0,0,0
1,2,4520:4,0,4,4,0,0,0,4,0
0,2,4440:15,0,19,13,21,0,0,0,7
0,2,5110:15,0,0,8,28,28,10,0,0
0,2,1650:3,3,0,2,0,0,19,0,4
1,2,4530:4,0,4,4,0,0,0,0,4
1,2,3720:4,0,0,4,4,0,0,0,4
1,2,4490:4,0,4,4,0,0,4,0,0
1,2,2410:4,0,4,4,0,0,4,0,0
1,2,3680:4,0,0,4,4,0,4,0,0
1,2,1600:4,4,0,4,0,0,4,0,0
0,2,3690:4,0,0,3,7,0,0,3,7
1,2,4450:4,0,4,4,4,0,0,0,0
1,2,5120:4,0,0,4,4,4,0,0,0
1,2,3870:4,0,0,4,0,0,0,4,4
1,2,800:4,4,0,4,4,0,0,0,0
1,2,2330:4,0,4,4,0,0,4,0,0
0,2,2340:70,0,51,25,0,0,0,166,5
0,2,3650:4,0,0,3,4,7,7,0,0
0,2,220:5,6,3,6,0,0,13,0,0
0,2,1490:13,7,0,10,8,0,6,0,0
1,2,4690:4,0,4,0,4,0,0,4,0
1,2,3150:4,0,0,4,0,0,0,4,4
1,2,4550:4,0,4,4,0,4,0,0,0
1,2,950:4,4,0,4,0,0,4,0,0
0,2,5122:25,0,0,18,66,31,0,40,0
0,2,1522:66,27,0,10,10,0,0,97,0
0,2,2382:3,0,8,4,0,0,4,0,9
0,2,3732:33,0,0,119,0,232,91,0,203
0,2,1572:46,99,0,439,0,0,15,0,26
1,2,8192:0,4,0,4,0,4,0,4,0
1,2,4682:4,0,4,0,4,0,0,4,0
1,2,2652:4,0,4,0,0,0,4,0,4
1,2,2422:4,0,4,4,0,0,0,4,0
1,2,3692:4,0,0,4,4,0,0,4,0
1,2,1612:4,4,0,4,0,0,0,4,0
1,2,5172:4,0,0,4,4,0,0,0,4
1,2,3822:4,0,0,4,0,4,0,0,4
1,2,1662:4,4,0,4,0,0,0,0,4
0,2,4412:4,0,10,10,4,0,0,11,0
0,2,2252:6,0,4,3,6,0,0,6,0
0,2,902:10,3,0,3,0,7,0,4,0
0,2,4462:43,0,58,520,0,4,27,0,0
0,2,3652:17,0,0,5,15,7,8,0,0
0,2,1492:4,7,0,9,23,0,4,0,0
1,2,4692:4,0,4,0,4,0,0,0,4
1,2,4502:4,0,4,4,0,0,0,4,0
1,2,2342:4,0,4,4,0,0,0,4,0
1,2,952:4,4,0,4,0,0,4,0,0
0,2,4422:11,0,5,5,4,0,0,0,9
0,2,2262:4,0,4,16,4,0,0,0,3
0,2,1632:9,6,0,13,0,4,0,0,31
0,2,142:94,17,71,22,0,0,121,0,0
1,2,4652:4,0,4,0,4,0,4,0,0
1,2,2492:4,0,4,0,4,0,4,0,0
1,2,4602:4,0,4,4,0,0,0,0,4
1,2,4472:4,0,4,4,0,4,0,0,0
1,2,3662:4,0,0,4,4,4,0,0,0
1,2,5192:4,0,0,4,0,4,4,0,0
1,2,872:4,4,0,4,0,0,4,0,0
0,2,2222:3,0,4,6,4,0,9,0,0
1,2,1502:4,4,0,4,4,0,0,0,0
0,2,5842:31,0,0,22,10,11,0,46,0
0,2,2412:9,0,5,5,0,0,0,1,1
0,2,1602:29,61,0,18,0,0,0,1,213
0,2,1472:13,4,0,1,4,10,0,0,0
1,2,8092:0,4,0,4,4,0,0,4,0
1,2,4582:4,0,4,4,0,0,0,4,0
1,2,5932:4,0,0,4,0,4,0,4,0
1,2,2372:4,0,4,4,0,4,0,0,0
1,2,4442:4,0,4,4,4,0,0,0,0
1,2,3812:4,0,0,4,0,4,4,0,0
1,2,1652:4,4,0,4,0,0,4,0,0
0,2,1504:2,19,0,12,26,0,0,4,0
0,2,1554:175,34,0,153,0,32,0,0,8
0,2,794:16,19,0,43,22,0,0,9,0
0,2,3084:34,0,0,8,0,18,10,0,17
0,2,924:25,11,0,8,0,0,1,0,16
1,2,11684:0,0,0,4,4,4,0,4,0
1,2,4664:4,0,4,0,4,0,0,4,0
1,2,5154:4,0,0,4,4,0,0,0,4
1,2,6004:4,0,0,4,0,4,0,4,0
1,2,4574:4,0,4,4,0,0,0,4,0
1,2,4524:4,0,4,4,0,0,0,0,4
1,2,5924:4,0,0,4,0,4,0,4,0
1,2,3714:4,0,0,4,4,0,0,0,4
0,2,2234:4,0,4,3,4,0,0,4,0
0,2,5844:8,0,0,18,6,8,0,0,10
0,2,5114:36,0,0,16,16,3,0,13,0
0,2,1474:29,15,0,12,11,6,0,0,0
1,2,4584:4,0,4,4,0,0,0,0,4
1,2,5204:4,0,0,4,0,4,0,4,0
1,2,4444:4,0,4,4,4,0,0,0,0
1,2,2414:4,0,4,4,0,0,0,4,0
1,2,5164:4,0,0,4,4,0,4,0,0
1,2,3814:4,0,0,4,0,4,4,0,0
1,2,1654:4,4,0,4,0,0,4,0,0
0,2,1524:5,16,0,2,10,0,0,0,34
0,2,2924:13,0,0,11,16,6,12,0,0
0,2,764:3,5,0,7,17,0,3,0,0
1,2,5354:4,0,0,0,4,4,4,0,0
1,2,5854:4,0,0,4,4,4,0,0,0
1,2,2424:4,0,4,4,0,0,0,0,4
1,2,1614:4,4,0,4,0,0,0,0,4
1,2,2384:4,0,4,4,0,0,4,0,0
1,2,3734:4,0,0,4,0,4,4,0,0
1,2,1574:4,4,0,4,0,0,4,0,0
0,2,2394:4,0,7,4,0,0,0,6,4
0,2,1584:139,21,0,187,0,0,0,211,32
0,2,2204:19,0,6,16,8,3,0,0,0
0,2,954:28,9,0,9,0,0,0,9,6
0,2,1624:8,3,0,9,0,3,40,0,0
1,2,1534:4,4,0,4,4,0,0,0,0
0,2,3664:7,0,0,3,30,3,0,3,0
0,2,2354:3,0,3,4,0,5,2,0,0
0,2,194:4,3,2,4,0,0,4,0,0
0,2,1544:44,148,0,28,0,188,21,0,0
1,2,6094:4,0,0,0,4,4,0,4,0
1,2,5284:4,0,0,4,0,4,0,4,0
1,2,4424:4,0,4,4,4,0,0,0,0
1,2,2994:4,0,0,4,4,0,0,0,4
1,2,2264:4,0,4,4,4,0,0,0,0
1,2,5874:4,0,0,4,4,0,0,0,4
1,2,1634:4,4,0,4,0,4,0,0,0
1,2,1684:4,4,0,4,0,0,0,4,0
0,2,2936:31,0,0,7,4,2,0,21,0
0,2,4466:126,0,160,181,0,8,0,56,0
0,2,4416:6,0,17,7,7,0,0,0,10
0,2,2256:16,0,4,6,7,0,0,0,11
0,2,3656:3,0,0,10,3,18,0,5,0
0,2,1496:9,8,0,16,4,0,0,4,0
0,2,866:32,99,0,9,0,0,187,245,0
1,2,8066:0,4,0,4,4,0,0,4,0
1,2,5596:4,0,0,0,4,4,4,0,0
1,2,5366:4,0,0,0,4,4,0,4,0
1,2,6086:4,0,0,0,4,4,0,4,0
1,2,4506:4,0,4,4,0,0,0,0,4
1,2,2396:4,0,4,4,0,0,0,4,0
1,2,2346:4,0,4,4,0,0,0,0,4
1,2,3746:4,0,0,4,0,4,0,4,0
1,2,1586:4,4,0,4,0,0,0,5,0
1,2,5276:4,0,0,4,0,4,0,4,0
1,2,956:4,4,0,4,0,0,0,4,0
0,2,3666:7,0,0,4,13,4,0,0,4
0,2,2356:4,0,7,14,0,4,24,0,0
0,2,1546:70,40,0,177,0,203,57,0,0
0,2,1596:31,223,0,14,0,0,27,0,43
1,2,10226:0,0,0,4,4,4,0,4,0
1,2,3896:4,0,0,0,4,4,4,0,0
1,2,4426:4,0,4,4,4,0,0,0,0
1,2,2266:4,0,4,4,4,0,0,0,0
1,2,1636:4,4,0,4,0,4,0,0,0
1,2,1686:4,4,0,4,0,0,0,0,4
1,2,4516:4,0,4,4,0,0,4,0,0
1,2,3706:4,0,0,4,4,0,4,0,0
0,2,1506:4,3,0,9,7,0,0,0,4
0,2,2406:4,0,3,4,0,0,3,0,4
0,2,2276:0,0,42,12,0,27,199,0,0
1,2,8036:0,4,0,4,4,4,0,0,0
1,2,6006:4,0,0,4,0,4,0,0,4
1,2,5976:4,0,0,4,0,0,0,4,4
1,2,2366:4,0,4,4,0,4,0,0,0
1,2,1556:4,4,0,4,0,4,0,0,0
1,2,3086:4,0,0,4,0,4,4,0,0
1,2,926:4,4,0,4,0,0,4,0,0
0,2,5166:45,0,0,4,25,0,0,19,19
0,2,1656:13,9,0,2,0,0,0,7,8
0,2,896:19,6,0,13,0,6,2,0,0
0,2,1516:12,12,0,12,4,0,13,0,0
1,2,5256:4,0,0,4,0,0,0,4,4
1,2,5846:4,0,0,4,4,4,0,0,0
1,2,5896:4,0,0,4,4,0,0,4,0
0,2,4546:8,0,12,16,0,9,0,49,0
0,2,2976:4,0,0,10,16,0,22,0,7
0,2,2246:4,0,7,3,4,0,2,0,0
0,2,946:10,11,0,4,0,0,10,8,0
1,2,4686:4,0,4,0,4,0,0,0,4
1,2,5126:4,0,0,4,4,4,0,0,0
1,2,5176:4,0,0,4,4,0,0,4,0
1,2,3696:4,0,0,4,4,0,0,0,4
1,2,3786:4,0,0,4,0,0,4,0,4
0,2,2288:5,0,6,24,0,69,0,22,0
0,2,2238:4,0,3,4,7,0,0,0,7
0,2,5118:12,0,0,3,31,3,0,0,9
0,2,2328:133,0,10,4,0,0,66,0,207
0,2,898:10,59,0,7,0,121,3,0,0
